NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
OLIMPICA RECORD,COSTA,SANTA MARTA,MAGDALENA,CARRERA 9 # 10-41
METRO MOSQUERA,BOGOTA,MOSQUERA,CUNDINAMARCA,CARRERA 9 VIA FERREA
METRO FACATATIVA,BOGOTA,FACATATIVA,CUNDINAMARCA,CARRERA 10 # 8A-12
METRO BOSA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 92 # 60-90 SUR
GNB PALOQUEMAO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 25 # 17-93
CENTRO CALI,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 4 # 12-46
CENTRO COMERCIAL  TROPICAL CENTRO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 43 # 36-05
LA 14 CALIMA I,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA1 # 66-49 LOCAL 103
CABECERA BUCARAMANGA,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 33 # 49-35
GALAN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 56 #  4G-07
