NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
GNB SUDAMERIS 122,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  122 # 18C-51
CENTRO COMERCIAL SABANA PLAZA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  13 # 19-71
CENTRO COMERCIAL  SANTA MARIA PLAZA,BOGOTA,SOACHA,CUNDINAMARCA,CALLE  13 #  5-41 SOACHA
CENTRO COMERCIAL SOACHA PLAZA,BOGOTA,SOACHA,CUNDINAMARCA,CALLE  13 #  6-03 LOCAL122
OLIMPICA PORTO ALEGRE,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  138 # 52-03
TIBABUYES II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  139 # 127C-11
CALLE 14,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE  14 # 32A-54
CENTRO COMERCIAL MONTERREY,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE  14 #  48 - 33
CENTRO COMERCIAL PLAZA BOMBONA,OCCIDENTE,PASTO,NARIÑO,CALLE  14 #  36-38
GNB CEDRITOS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  140 # 13-15
SAO SUBA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  140 # 91-19
BELMIRA PLAZA,BOGOTA,BOGOTA,CUNDINAMARCA,CLL 140 # 12-62 LOCAL 24
OLIMPICA SANTA ROSA DE CABAL,CAFETERA,SANTA ROSA DE CABAL,RISARALDA,CALLE  15 #  11-40
CENTRO COMERCIAL ARAZA,OCCIDENTE,PASTO,NARIÑO,CALLE  16 #  22A-40
CLINICA CARDIO INFANTIL,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  163 A # 13B-60
EL HUERTO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  166 CARRERA 46
ESSO SANTA ANA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  17 # 115-81
LA 14 PEREIRA,CAFETERA,PEREIRA,RISARALDA,CALLE  17 # 17-230
TERMINAL PEREIRA,CAFETERA,PEREIRA,RISARALDA,CALLE  17 # 23-157
CENTRO COMERCIAL VICTORIA,CAFETERA,PEREIRA,RISARALDA,CALLE  18 CARRERA 11
METRO DUITAMA,ORIENTAL,DUITAMA,BOYACA,CALLE  18 #  11-33
MOTOCONTROL,COSTA,SOLEDAD,ATLANTICO,CALLE  18 #  18A-14
JUMBO SANTAFE,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  185 # 43-05 CENTRO COMERCIAL SANTAFE
LIJACA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  189 #  8-05
OLIMPICA BUENAVENTURA,OCCIDENTE,BUENAVENTURA,VALLE DEL CAUCA,CALLE  2 # 1A-08
ÉXITO PASTO,OCCIDENTE,PASTO,NARIÑO,CALLE  2 # 22B-96
CENTRO COMERCIAL BRISAS,OCCIDENTE,BUENAVENTURA,VALLE DEL CAUCA,CALLE  2 #  66-86 CENTRO COMERCIAL BRISAS
SAO LA PAJUELA,COSTA,SINCELEJO,SUCRE,CALLE  21 #  16-25
VIVERO SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,CALLE  22 CARRERA 5
QUINTA PAREDES,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  22B # 43B-42
CENTRO NARIÑO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  22F # 37-26
SAO SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,CALLE  23 CARRERA 8
METRO FONTIBON,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  17 # 112-58
OLIMPICA LAS NIEVES BARRANQUILLA,COSTA,BARRANQUILLA,ATLANTICO,CALLE  24 CARRERA 12 ESQUINA
GNB SEXTA,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 6 # 25N-11
OLIMPICA CANASTA TULUA,OCCIDENTE,TULUA,VALLE DEL CAUCA,CALLE  25 # 17-05
OLIMPICA EUROS,COSTA,SINCELEJO,SUCRE,CALLE  25 #  27-41
METRO FLORIDABLANCA,SANTANDERES,FLORIDABLANCA,SANTANDER,PISTA FLORIDABLANCA CON CALLE 25
CENTRO COMERCIAL GRAN ESTACION II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  26 # 62-49 ISLA 141
CENTRO COMERCIAL GRAN ESTACION I,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  26 # 62-49 LOCAL 1-10-1
EL JARDIN,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  27 # 33B-09
CENTRO COMERCIAL PUNTO CLAVE,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE  27 # 46-70
SOCIEGO II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  27 SUR #  10A-22
SANTA INES,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  29 SUR #  4-86 ESTE
LA 14 JAMUNDI,OCCIDENTE,JAMUNDI,VALLE DEL CAUCA,CALLE  2A # 22-175 KM 2
METRO CALLE 30,COSTA,BARRANQUILLA,ATLANTICO,CALLE  30 # 18-78
TERMINAL TRANSPORTE CALI II,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  30N #  2AN-29
CENTRO COMERCIAL SURICENTRO II,ANTIOQUIA,MONTERIA,CORDOBA,CALLE  31 #  1-35
COMFANDI UNICENTRO,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,CALLE  32 # 28-03
OLIMPICA LA 8 BARRANQUILLA,COSTA,BARRANQUILLA,ATLANTICO,CALLE  36B # 8 ESQUINA
OLIMPICA CAMPO ALEGRE,COSTA,BARRANQUILLA,ATLANTICO,CALLE  38 # 102B-15
CARULLA SAN FERNANDO,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  4 # 34-04
PUERTO MADERO II,SANTANDERES,PIEDECUESTA,SANTANDER,CALLE  4 #  13A-19
TERMINAL SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,CALLE  41 # 31-17
BOITA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 45 SUR 72 M BIS A - ESQUINA
TEXACO 9,COSTA,BARRANQUILLA,ATLANTICO,CALLE  42 # 40-15
PARQUE PALMAS,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE  44 # 29-46
ESSO GUATIQUIA,BOGOTA,VILLAVICENCIO,META,CALLE  44 #  32-18
CAMPO HERMOSO,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE  45 # 1OCC-47
SEVILLANA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  45 SUR #  72D-29
CENTRO COMERCIAL CASABLANCA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  47B SUR # 84B-15
SAN IGNACIO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE  48 # 43-81
MARRUECOS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  48 P SUR #  5H-02
BAHIA TUNAL,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  48 SUR #  25-06 LOCAL 9
DIANA TURBAY,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  48 Z SUR #  5B-09
LA 14 COSMOCENTRO,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  5 # 50-104
ÉXITO UNICO,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  5 AVENIDA PASO ANCHO
CENTRO COMERCIAL PREMIER CALI,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE  5 #  69-03 LOCAL 286
SUPERDIA QUINTANA,BOGOTA,SOACHA,CUNDINAMARCA,CALLE  5 #  6C-21
METRO ITAGUI,ANTIOQUIA,ITAGUI,ANTIOQUIA,CALLE  50 # 52-51
CONFAMILIARES,CAFETERA,MANIZALES,CALDAS,CALLE  50 CARRERA 25 ESQUINA
BOSA PORVENIR,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  51 SUR #  90A-12
CENTRO COMERCIAL CARACAS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  51 SUR #  9-30
CENTRO COMERCIAL PORTAL PRADO,COSTA,BARRANQUILLA,ATLANTICO,CALLE  53 CARRERA 46
CENTRO COMERCIAL FLORIDA,COSTA,BARRANQUILLA,ATLANTICO,CALLE 35 # 43-89
CAVIPETROL,SANTANDERES,BARRANCABERMEJA,SANTANDER,CALLE  57 # 24-75 BARRANCABERMEJA
CAVIPETROL II,SANTANDERES,BARRANCABERMEJA,SANTANDER,CALLE  57 # 24-75 BARRANCABERMEJA
CENTRO COMERCIAL NUEVA ROMA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  57A SUR 77K-91
CASA LINDA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  59 SUR 22G-12
DROGUERIA PARIS III,ANTIOQUIA,CIENAGA DE ORO,CORDOBA,CALLE  6 #  16-74
CENTRO COMERCIAL PORTAL SOLEDAD,COSTA,SOLEDAD,ATLANTICO,CALLE  63 #  14-50
OLIMPICA COSMOS 64,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  64 # 11-05
COLSUBSIDIO TIENDA 67,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  67 #  10A-39
ÉXITO ALAMOS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  68 AVENIDA CUNDINAMARCA
OLIMPICA MODELO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  69 # 44-20
AURORA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  69F SUR # 2A-13
METRO BANDERAS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  6A # 78A-68
SOACHA COMPARTIR,BOGOTA,SOACHA,CUNDINAMARCA,CALLE  7 SUR #  7-35 SOACHA
OLIMPICA CUBA,CAFETERA,PEREIRA,RISARALDA,CALLE  70 BIS #  23-93
GNB CAPICENTRO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE  72 # 42-100 LOCAL 102
CENTRO COMERCIAL UNICO,COSTA,BARRANQUILLA,ATLANTICO,CALLE  74 CARRERA 39 ESQUINA
MERGAFOUR,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  76 #  80A-83
ÉXITO NEIVA,SUR,NEIVA,HUILA,CALLE  8 # 2-21
CAFAM MELGAR,BOGOTA,MELGAR,TOLIMA,CALLE  8 CARRERA 15
OLIMPCA LA VIRGINIA,CAFETERA,LA VIRGINIA,RISARALDA,CALLE  8 #  6-35
GNB SIMENS TENJO,BOGOTA,TENJO,CUNDINAMARCA,CALLE  80 VIA SIBERIA PEAJE
JUMBO CALLE 80,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  81 # 68-50 PISO 1
CALLE 84 II,COSTA,BARRANQUILLA,ATLANTICO,CALLE  84 # 43-48 LOCAL 5
CARULLA RETIRO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 85 # 9-75
METRO CARTAGO,CAFETERA,CARTAGO,VALLE DEL CAUCA,CALLE  9 # 12-127
SANTO TOMAS,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE  9 # 18-69
SERENA II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  90 # 85A-11
CITY PARKING 95,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  95 # 11A-67
OLMPCA_CASTELLANA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  95 # 31-01
CMR CALLE 99,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  99 #  11A-32
SEGUROS DEL SUR II,OCCIDENTE,TUMACO,NARIÑO,CALLE  MOSQUERA CON 7 DE AGOSTO ESQUINA
